,blockNumber,kittyId,case:genes,case:concept:name,concept:name,time:timestamp,from,to,start_timestamp_Rounded,genes,isValue,isValueCase2
10541834,8259551,,-3019947904495252141,995907,Is Transferred,2019-07-31 18:45:13+00:00,0x179d698f5a1c84c3ff4c5eb04e553c15a0c1d8d8,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-31 18:50:00+00:00,-3019947904495252141,True,False
10541833,8225594,,-3019947904495252141,995907,Is Transferred,2019-07-26 12:26:35+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x179d698f5a1c84c3ff4c5eb04e553c15a0c1d8d8,2019-07-26 12:30:00+00:00,-3019947904495252141,True,False
10541832,8225153,,-3019947904495252141,995907,Is Transferred,2019-07-26 10:45:20+00:00,0x7316e9cf94bef40d4981d66a5c41c38b6b32454c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-26 10:50:00+00:00,-3019947904495252141,True,False
10541831,8223502,,-3019947904495252141,995907,Is Transferred,2019-07-26 04:26:31+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x7316e9cf94bef40d4981d66a5c41c38b6b32454c,2019-07-26 04:30:00+00:00,-3019947904495252141,True,False
10541830,8223046,,-3019947904495252141,995907,Is Transferred,2019-07-26 02:45:20+00:00,0x87b77fabfeb869150b8e1b9462603f9a639c5fae,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-26 02:50:00+00:00,-3019947904495252141,True,False
10541829,8221361,,-3019947904495252141,995907,Is Transferred,2019-07-25 20:26:41+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x87b77fabfeb869150b8e1b9462603f9a639c5fae,2019-07-25 20:30:00+00:00,-3019947904495252141,True,False
10541828,8220920,,-3019947904495252141,995907,Is Transferred,2019-07-25 18:45:18+00:00,0xe738725cdcc41c91f734dd7b5b9659df994d6dda,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-25 18:50:00+00:00,-3019947904495252141,True,False
10541827,8219247,,-3019947904495252141,995907,Is Transferred,2019-07-25 12:26:58+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xe738725cdcc41c91f734dd7b5b9659df994d6dda,2019-07-25 12:30:00+00:00,-3019947904495252141,True,False
10541826,8218829,,-3019947904495252141,995907,Is Transferred,2019-07-25 10:45:13+00:00,0xbabda06088c242fb2a763aa7cc99706cb77ba735,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-25 10:50:00+00:00,-3019947904495252141,True,False
10541825,8217125,,-3019947904495252141,995907,Is Transferred,2019-07-25 04:26:04+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xbabda06088c242fb2a763aa7cc99706cb77ba735,2019-07-25 04:30:00+00:00,-3019947904495252141,True,False
10541824,8216678,,-3019947904495252141,995907,Is Transferred,2019-07-25 02:45:17+00:00,0x838c14eb3eabe4cb6a696d286c7b2a466629d0ee,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-25 02:50:00+00:00,-3019947904495252141,True,False
10541823,8215006,,-3019947904495252141,995907,Is Transferred,2019-07-24 20:27:00+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x838c14eb3eabe4cb6a696d286c7b2a466629d0ee,2019-07-24 20:30:00+00:00,-3019947904495252141,True,False
10541822,8214514,,-3019947904495252141,995907,Is Transferred,2019-07-24 18:46:47+00:00,0x7316e9cf94bef40d4981d66a5c41c38b6b32454c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-24 18:50:00+00:00,-3019947904495252141,True,False
